instance,n,m,ratio_1,ratio_2,density,min_degree,max_degree,avg_degree,med_degree,25Q_degree,75Q_degree,cv_degree,entropy_degree,min_clique,max_clique,med_clique,Q25_clique,Q75_clique,cv_clique,entropy_clique,clique_time,max_card_clique,min_cluster_coeff,max_cluster_coeff,med_cluster_coeff,Q25_cluster_coeff,Q75_cluster_coeff,cv_cluster_coeff,entropy_cluster_coeff,min_cluster_wcoeff,max_cluster_wcoeff,med_cluster_wcoeff,Q25_cluster_wcoeff,Q75_cluster_wcoeff,cv_cluster_wcoeff,entropy_cluster_wcoeff,cluster_coeff_time,DSATUR_n_colors,DSATUR_time,DSATUR_min_size,DSATUR_max_size,DSATUR_mean_size,DSATUR_med_size,DSATUR_Q25_size,DSATUR_Q75_size,DSATUR_vc_size,DSATUR_entropy_size,time
random_graph_3_500_0.05_25_4.col,500,11170,0.04,22.34,0.09,19,68,44,46,39,51,0.21,0.92,0.02,0.04,0.03,0.03,0.03,0.0,0.0,0,18,0,0,0.69,0.66,0.72,0.09,0.0,17,44,31.31,26.26,35.38,0.2,0.95,0,25,0,1,7,4,5,2,6,0.57,0.97,1.0
random_graph_3_1000_0.35_100_2.col,1000,287701,0.0,287.7,0.58,335,716,575,601,472,689,0.21,0.94,0.09,0.1,0.1,0.1,0.1,0.0,0.0,62,99,0,0,0.81,0.76,0.91,0.1,0.0,331,530,487.43,430.41,520.98,0.12,0.92,26,191,44,1,8,3,3,2,4,0.46,0.81,135.0
random_graph_1_250_0.1_50_3.col,250,2966,0.08,11.86,0.1,12,40,23,24,20,27,0.2,0.91,0.01,0.02,0.01,0.01,0.01,0.0,0.0,0,5,0,0,0.1,0.08,0.11,0.21,0.0,0,4,2.26,1.79,2.69,0.29,0.65,0,10,0,2,3,2,2,2,2,0.15,0.47,0.0
random_graph_1_500_0.1_25_2.col,500,11966,0.04,23.93,0.1,30,69,47,48,44,52,0.13,0.88,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0,5,0,0,0.09,0.09,0.1,0.09,0.0,2,6,4.52,4.09,5.02,0.15,0.7,0,16,0,4,7,5,6,5,6,0.17,0.9,1.0
random_graph_4_250_0.1_25_2.col,250,2991,0.08,11.96,0.1,12,36,23,24,21,27,0.19,0.89,0.01,0.02,0.01,0.01,0.01,0.0,0.0,0,4,0,0,0.1,0.08,0.11,0.2,0.0,0,4,2.28,1.81,2.74,0.29,0.67,0,10,0,2,3,2,3,3,3,0.2,0.72,0.0
random_graph_4_1000_0.5_100_4.col,1000,243943,0.0,243.94,0.49,410,548,487,490,477,503,0.04,0.92,0.01,0.01,0.01,0.01,0.01,0.0,0.0,1,12,0,0,0.49,0.49,0.49,0.0,0.0,201,267,239.26,232.89,245.3,0.04,0.89,17,117,41,2,5,2,3,2,3,0.3,0.63,62.0
random_graph_3_100_0.05_0_2.col,100,477,0.21,4.77,0.1,3,15,9,9,7,12,0.32,0.91,0.03,0.12,0.07,0.06,0.09,0.0,0.01,0,12,0,1,0.76,0.67,0.84,0.16,0.37,2,11,6.93,5.4,8.62,0.33,0.93,0,12,0,1,6,3,4,2,5,0.52,0.91,0.0
random_graph_4_100_0.9_10_1.col,100,4023,0.02,40.23,0.81,72,90,80,81,78,83,0.04,0.9,0.09,0.1,0.1,0.1,0.1,0.0,0.0,0,10,0,0,0.8,0.8,0.81,0.0,0.0,58,72,64.8,62.55,66.45,0.04,0.89,0,19,0,1,5,2,3,2,4,0.63,0.96,0.0
random_graph_3_500_0.35_25_3.col,500,64875,0.01,129.75,0.52,134,347,259,263,214,314,0.22,0.96,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0,25,0,0,0.77,0.69,0.86,0.11,0.0,127,240,199.87,179.54,219.1,0.13,0.95,2,48,4,1,4,2,3,2,4,0.51,0.95,7.0
random_graph_4_1000_0.1_100_3.col,1000,48788,0.02,48.79,0.1,69,130,97,97,91,105,0.1,0.92,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,5,0,0,0.1,0.09,0.1,0.04,0.0,6,13,9.5,8.81,10.25,0.11,0.73,0,26,10,3,5,3,3,3,4,0.19,0.75,11.0
random_graph_1_100_0.1_0_2.col,100,509,0.2,5.09,0.1,5,17,10,10,8,12,0.27,0.94,0.02,0.03,0.03,0.02,0.03,0.0,0.01,0,3,0,0,0.1,0.08,0.13,0.5,0.0,0,2,1.08,0.74,1.25,0.45,0.74,0,6,0,2,2,2,2,2,2,0.0,0.0,0.0
random_graph_1_100_0.5_10_1.col,100,2294,0.04,22.94,0.46,35,56,45,46,43,49,0.11,0.93,0.04,0.07,0.06,0.05,0.06,0.0,0.01,0,7,0,0,0.46,0.45,0.47,0.03,0.0,16,25,20.96,19.56,22.69,0.1,0.93,0,17,0,2,4,2,2,2,3,0.35,0.87,0.0
random_graph_3_250_0.35_50_1.col,250,17981,0.01,71.92,0.58,78,182,143,143,118,172,0.2,0.95,0.14,0.18,0.17,0.17,0.18,0.0,0.0,0,46,0,0,0.81,0.74,0.92,0.11,0.0,76,133,119.35,109.61,126.65,0.1,0.92,0,69,0,1,5,2,3,2,3,0.46,0.82,1.0
random_graph_4_100_0.1_10_2.col,100,447,0.22,4.47,0.09,4,17,8,9,7,11,0.36,0.91,0.02,0.04,0.02,0.02,0.03,0.0,0.01,0,4,0,0,0.08,0.04,0.11,0.62,0.0,0,1,0.67,0.33,1.11,0.65,0.9,0,6,0,1,6,4,4,4,5,0.39,0.96,0.0
random_graph_3_500_0.7_100_3.col,500,109976,0.0,219.95,0.88,309,499,439,450,401,489,0.12,0.91,0.17,0.18,0.18,0.18,0.18,0.0,0.0,7,91,0,0,0.91,0.88,0.95,0.04,0.0,301,439,410.83,380.12,432.6,0.09,0.91,5,159,7,1,6,2,2,1,3,0.52,0.73,20.0
random_graph_3_1000_0.7_0_1.col,1000,449309,0.0,449.31,0.9,666,999,898,929,807,999,0.12,0.72,0.0,0.0,0.0,0.0,0.0,,0.0,601,0,0,1,0.93,0.9,0.98,0.04,0.05,666,898,863.91,786.71,898.42,0.08,0.73,48,702,58,1,2,1,1,1,2,0.49,0.98,711.0
random_graph_4_1000_0.9_100_2.col,1000,445047,0.0,445.05,0.89,850,920,890,890,883,897,0.01,0.9,0.04,0.05,0.04,0.04,0.04,0.0,0.0,12,46,0,0,0.89,0.89,0.89,0.0,0.0,757,819,793.04,787.21,799.36,0.01,0.9,45,302,61,1,3,2,2,2,2,0.19,0.43,121.0
random_graph_3_1000_0.7_100_4.col,1000,445724,0.0,445.72,0.89,636,998,891,914,813,987,0.11,0.89,0.1,0.1,0.1,0.1,0.1,0.0,0.0,31,100,0,0,0.91,0.89,0.95,0.03,0.0,626,890,841.6,774.0,880.37,0.08,0.89,47,193,58,1,7,2,2,1,3,0.64,0.79,138.0
random_graph_1_500_0.5_0_1.col,500,62511,0.01,125.02,0.5,210,279,250,250,243,257,0.04,0.92,0.01,0.02,0.02,0.02,0.02,0.0,0.0,0,12,0,0,0.5,0.5,0.5,0.0,0.0,105,139,125.36,121.66,128.78,0.04,0.89,1,70,4,2,5,3,3,3,4,0.28,0.87,6.0
random_graph_1_1000_0.1_100_4.col,1000,48490,0.02,48.49,0.1,64,123,96,97,90,104,0.1,0.92,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,5,0,0,0.1,0.09,0.1,0.04,0.0,5,12,9.42,8.76,10.08,0.11,0.7,0,27,7,2,6,4,4,4,5,0.24,0.83,9.0
random_graph_4_1000_0.9_50_4.col,1000,430585,0.0,430.58,0.86,733,914,861,878,853,889,0.05,0.93,0.03,0.04,0.03,0.03,0.03,0.0,0.0,6,39,0,0,0.86,0.86,0.86,0.01,0.0,641,787,756.14,733.98,765.75,0.05,0.92,47,142,62,2,4,2,2,2,2,0.19,0.41,117.0
random_graph_1_250_0.9_0_2.col,250,28095,0.01,112.38,0.9,210,240,224,225,222,228,0.02,0.89,0.1,0.15,0.12,0.12,0.13,0.0,0.0,0,38,0,0,0.9,0.9,0.9,0.0,0.0,189,216,203.04,200.25,205.78,0.02,0.88,0,99,0,1,3,2,2,2,2,0.14,0.28,1.0
random_graph_3_500_0.05_100_3.col,500,11939,0.04,23.88,0.1,22,69,47,49,42,54,0.19,0.91,0.03,0.06,0.04,0.04,0.05,0.0,0.0,1,28,0,0,0.73,0.71,0.76,0.08,0.0,21,48,35.53,30.1,40.24,0.18,0.95,0,37,0,1,8,4,5,2,6,0.54,0.82,2.0
random_graph_1_250_0.5_0_1.col,250,15676,0.02,62.7,0.5,106,144,125,125,120,131,0.06,0.92,0.02,0.04,0.03,0.03,0.03,0.0,0.0,0,9,0,0,0.5,0.5,0.51,0.01,0.0,53,72,63.34,60.62,65.79,0.06,0.91,0,40,0,2,3,2,3,2,3,0.25,0.98,0.0
random_graph_4_250_0.5_25_3.col,250,14317,0.02,57.27,0.46,78,138,114,117,105,124,0.11,0.95,0.02,0.04,0.03,0.02,0.03,0.0,0.0,0,9,0,0,0.46,0.45,0.47,0.02,0.0,37,63,53.61,49.29,56.98,0.1,0.94,0,36,0,2,4,2,2,2,2,0.24,0.52,0.0
random_graph_1_500_0.5_25_3.col,500,57220,0.01,114.44,0.46,172,276,228,236,218,245,0.1,0.93,0.01,0.02,0.02,0.02,0.02,0.0,0.0,0,11,0,0,0.46,0.45,0.46,0.02,0.0,81,126,107.44,99.67,111.88,0.09,0.92,1,58,4,2,8,3,4,3,4,0.35,0.64,6.0
random_graph_1_500_0.9_0_2.col,500,112469,0.0,224.94,0.9,427,470,449,450,446,455,0.01,0.89,0.07,0.09,0.08,0.08,0.08,0.0,0.0,1,44,0,0,0.9,0.9,0.9,0.0,0.0,384,423,405.85,401.77,409.9,0.01,0.9,4,181,7,1,4,2,3,2,3,0.29,0.63,14.0
random_graph_4_1000_0.1_0_4.col,1000,49950,0.02,49.95,0.1,74,133,99,100,93,106,0.1,0.91,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,5,0,0,0.1,0.1,0.1,0.04,0.0,7,13,9.98,9.27,10.71,0.11,0.77,0,27,8,3,5,4,4,4,5,0.17,0.92,9.0
random_graph_1_500_0.1_100_2.col,500,12398,0.04,24.8,0.1,29,68,49,50,45,54,0.13,0.9,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0,5,0,0,0.1,0.09,0.11,0.09,0.0,2,7,4.96,4.43,5.43,0.15,0.68,0,16,0,3,5,4,4,4,5,0.19,0.95,1.0
random_graph_1_250_0.5_50_2.col,250,15362,0.02,61.45,0.49,103,144,122,123,117,128,0.06,0.94,0.02,0.04,0.03,0.03,0.03,0.0,0.0,0,10,0,0,0.49,0.49,0.5,0.01,0.0,51,71,60.63,57.93,63.53,0.06,0.9,0,39,0,2,4,2,3,3,3,0.24,0.63,0.0
random_graph_4_500_0.9_25_3.col,500,102759,0.0,205.52,0.82,331,455,411,427,407,437,0.09,0.94,0.04,0.05,0.04,0.04,0.05,0.0,0.0,0,25,0,0,0.82,0.82,0.82,0.02,0.0,281,374,349.43,332.4,358.37,0.08,0.94,4,56,6,1,6,3,3,2,4,0.38,0.79,12.0
random_graph_3_1000_0.7_50_2.col,1000,447138,0.0,447.14,0.9,682,990,894,928,819,978,0.11,0.88,0.05,0.05,0.05,0.05,0.05,0.0,0.0,2,50,0,0,0.92,0.89,0.96,0.03,0.0,667,886,850.66,781.78,875.37,0.08,0.89,48,99,58,1,7,3,3,2,5,0.62,0.93,111.0
random_graph_1_250_0.9_25_3.col,250,25852,0.01,103.41,0.83,167,230,206,214,202,220,0.09,0.94,0.07,0.1,0.08,0.08,0.08,0.0,0.0,0,24,0,0,0.83,0.82,0.83,0.02,0.0,143,190,176.14,166.32,182.15,0.08,0.95,0,52,0,1,4,2,2,2,2,0.27,0.56,1.0
random_graph_4_250_0.9_50_2.col,250,27468,0.01,109.87,0.88,206,231,219,220,217,223,0.02,0.9,0.09,0.12,0.1,0.1,0.1,0.0,0.0,0,30,0,0,0.88,0.88,0.88,0.0,0.0,181,203,193.75,191.43,196.79,0.02,0.9,0,88,0,1,3,2,2,2,2,0.15,0.33,1.0
random_graph_1_1000_0.9_0_4.col,1000,449671,0.0,449.67,0.9,867,930,899,899,892,906,0.01,0.9,0.04,0.05,0.05,0.04,0.05,0.0,0.0,13,52,0,0,0.9,0.9,0.9,0.0,0.0,780,837,809.44,803.38,815.57,0.01,0.9,48,321,63,1,3,2,2,2,2,0.07,0.09,127.0
random_graph_1_100_0.9_20_4.col,100,4141,0.02,41.41,0.84,66,95,82,84,79,88,0.08,0.92,0.13,0.17,0.15,0.14,0.15,0.0,0.01,0,17,0,0,0.83,0.83,0.84,0.01,0.0,56,78,70.17,66.1,72.72,0.07,0.92,0,31,0,1,2,1,2,2,2,0.4,0.71,0.0
random_graph_3_500_0.35_100_1.col,500,70262,0.01,140.52,0.56,163,350,281,289,231,335,0.2,0.95,0.16,0.18,0.17,0.17,0.17,0.0,0.0,9,88,0,0,0.82,0.75,0.93,0.11,0.0,161,264,237.34,211.97,251.89,0.11,0.95,2,144,4,1,6,2,3,2,3,0.53,0.8,16.0
random_graph_4_250_0.1_50_1.col,250,3052,0.08,12.21,0.1,13,37,24,24,22,27,0.19,0.91,0.01,0.02,0.01,0.01,0.01,0.0,0.0,0,4,0,0,0.1,0.09,0.11,0.19,0.0,0,4,2.45,1.91,2.84,0.27,0.64,0,10,0,2,5,3,4,2,4,0.4,0.95,0.0
random_graph_3_100_0.7_20_1.col,100,4306,0.02,43.06,0.87,65,98,86,91,78,93,0.11,0.89,0.18,0.2,0.2,0.2,0.2,0.0,0.01,0,20,0,0,0.88,0.87,0.93,0.04,0.0,61,84,79.21,73.26,80.84,0.08,0.9,0,36,0,1,3,1,2,1,2,0.68,0.92,0.0
random_graph_4_100_0.5_20_4.col,100,2285,0.04,22.85,0.46,29,58,45,45,42,50,0.13,0.94,0.04,0.08,0.06,0.05,0.06,0.0,0.01,0,8,0,0,0.46,0.45,0.47,0.04,0.0,15,27,21.2,19.68,22.76,0.13,0.91,0,17,0,2,2,2,2,2,2,0.0,0.0,0.0
random_graph_1_500_0.9_100_3.col,500,109814,0.0,219.63,0.88,389,469,439,443,434,449,0.03,0.9,0.05,0.08,0.07,0.06,0.07,0.0,0.0,1,38,0,0,0.88,0.88,0.88,0.0,0.0,344,412,389.45,382.34,394.98,0.03,0.89,5,148,7,2,4,2,3,2,3,0.3,0.8,14.0
random_graph_1_100_0.9_10_3.col,100,3811,0.03,38.11,0.77,59,94,76,79,66,84,0.13,0.95,0.09,0.1,0.1,0.1,0.1,0.0,0.0,0,10,0,0,0.76,0.75,0.79,0.03,0.0,45,71,58.27,52.04,63.71,0.11,0.95,0,19,0,1,5,2,3,2,3,0.59,0.94,0.0
random_graph_4_500_0.1_100_2.col,500,12350,0.04,24.7,0.1,30,68,49,49,45,54,0.14,0.92,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0,5,0,0,0.1,0.09,0.11,0.09,0.0,2,7,4.94,4.36,5.46,0.16,0.69,0,16,1,2,6,3,3,3,3,0.39,0.81,1.0
random_graph_4_250_0.9_0_4.col,250,28012,0.01,112.05,0.9,209,236,224,224,221,227,0.02,0.89,0.11,0.14,0.13,0.12,0.13,0.0,0.0,0,36,0,0,0.9,0.9,0.9,0.0,0.0,188,212,201.68,198.99,204.37,0.02,0.89,0,96,0,1,3,2,2,2,2,0.24,0.64,1.0
random_graph_4_100_0.5_10_3.col,100,2101,0.05,21.01,0.42,21,54,42,43,37,48,0.18,0.95,0.04,0.07,0.05,0.05,0.06,0.0,0.01,0,7,0,0,0.43,0.42,0.45,0.06,0.0,9,24,18.17,16.12,20.1,0.16,0.89,0,17,0,2,4,2,3,2,3,0.32,0.87,0.0
random_graph_3_500_0.35_0_4.col,500,74025,0.01,148.05,0.59,159,368,296,302,246,357,0.2,0.92,0.32,0.39,0.36,0.36,0.38,0.0,0.0,54,196,0,1,0.83,0.75,0.94,0.11,0.07,159,277,250.89,228.18,267.37,0.11,0.9,2,205,4,1,3,2,2,2,3,0.23,0.57,62.0
random_graph_3_250_0.05_0_2.col,250,2998,0.08,11.99,0.1,11,32,23,24,21,27,0.18,0.92,0.04,0.08,0.06,0.05,0.06,0.0,0.0,0,20,0,1,0.74,0.71,0.78,0.09,0.16,11,23,17.96,15.9,20.24,0.17,0.95,0,20,0,2,4,3,3,3,4,0.24,0.92,0.0
random_graph_3_250_0.35_25_2.col,250,17618,0.01,70.47,0.57,77,181,140,142,117,168,0.2,0.95,0.09,0.1,0.1,0.1,0.1,0.0,0.0,0,25,0,0,0.79,0.72,0.9,0.11,0.0,74,129,114.5,104.76,121.0,0.1,0.92,0,46,0,1,4,2,3,2,4,0.45,0.9,1.0
random_graph_4_500_0.9_100_3.col,500,109652,0.0,219.3,0.88,393,462,438,442,434,448,0.03,0.91,0.05,0.07,0.06,0.06,0.07,0.0,0.0,1,37,0,0,0.88,0.88,0.88,0.0,0.0,348,406,388.27,381.22,393.65,0.03,0.9,4,141,7,1,5,2,2,2,3,0.34,0.61,13.0
random_graph_4_100_0.1_0_4.col,100,495,0.2,4.95,0.1,4,16,9,10,8,11,0.32,0.92,0.02,0.04,0.03,0.02,0.03,0.0,0.01,0,4,0,0,0.1,0.06,0.13,0.56,0.0,0,2,1.0,0.6,1.33,0.52,0.73,0,6,0,2,5,4,4,4,4,0.25,0.92,0.0
random_graph_3_1000_0.35_0_1.col,1000,282676,0.0,282.68,0.57,334,701,565,585,465,677,0.2,0.93,0.0,0.0,0.0,0.0,0.0,,0.0,601,0,0,1,0.83,0.76,0.93,0.11,0.04,334,533,484.11,432.46,509.75,0.11,0.95,25,382,41,1,3,2,3,2,3,0.31,0.72,669.0
random_graph_4_500_0.1_25_2.col,500,11956,0.04,23.91,0.1,28,66,47,48,43,52,0.14,0.91,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0,5,0,0,0.1,0.09,0.1,0.09,0.0,2,7,4.61,4.1,5.14,0.16,0.67,0,16,0,3,6,4,5,4,5,0.21,0.87,1.0
random_graph_1_250_0.1_25_2.col,250,2977,0.08,11.91,0.1,11,40,23,23,21,27,0.2,0.88,0.01,0.02,0.01,0.01,0.01,0.0,0.0,0,4,0,0,0.09,0.08,0.1,0.19,0.0,0,3,2.2,1.83,2.64,0.26,0.68,0,10,0,2,2,2,2,2,2,0.0,0.0,0.0
random_graph_1_500_0.9_100_1.col,500,111325,0.0,222.65,0.89,424,468,445,445,441,450,0.02,0.91,0.06,0.08,0.07,0.07,0.07,0.0,0.0,1,40,0,0,0.89,0.89,0.89,0.0,0.0,378,417,397.28,393.37,401.52,0.02,0.9,4,166,7,1,6,2,3,2,3,0.36,0.59,14.0
random_graph_4_250_0.1_50_3.col,250,2977,0.08,11.91,0.1,13,37,23,24,21,27,0.2,0.91,0.01,0.02,0.01,0.01,0.01,0.0,0.0,0,4,0,0,0.09,0.08,0.11,0.21,0.0,0,4,2.25,1.84,2.57,0.27,0.63,0,10,0,3,5,3,4,3,4,0.21,0.86,0.0
random_graph_1_1000_0.5_50_4.col,1000,239642,0.0,239.64,0.48,383,538,479,485,467,498,0.06,0.93,0.01,0.01,0.01,0.01,0.01,0.0,0.0,1,12,0,0,0.48,0.48,0.48,0.01,0.0,186,258,232.32,223.89,238.72,0.05,0.92,16,112,38,2,5,2,3,2,3,0.37,0.78,56.0
random_graph_3_100_0.7_20_3.col,100,4182,0.02,41.82,0.84,59,98,83,86,75,93,0.13,0.89,0.17,0.2,0.19,0.19,0.19,0.0,0.01,0,20,0,0,0.87,0.84,0.91,0.04,0.0,55,82,74.77,68.11,78.43,0.1,0.92,0,36,0,1,5,1,2,1,2,0.86,0.63,0.0
random_graph_3_1000_0.05_50_2.col,1000,47479,0.02,47.48,0.1,45,121,94,97,89,102,0.13,0.88,0.02,0.04,0.03,0.03,0.04,0.0,0.0,14,39,0,0,0.74,0.71,0.76,0.08,0.0,44,86,71.32,66.66,74.96,0.1,0.89,0,49,6,1,5,3,3,3,4,0.29,0.78,22.0
random_graph_3_500_0.35_100_3.col,500,69265,0.01,138.53,0.56,156,350,277,285,228,328,0.2,0.96,0.13,0.15,0.15,0.14,0.15,0.0,0.0,6,75,0,0,0.81,0.74,0.91,0.11,0.0,153,260,230.42,206.29,245.54,0.11,0.96,2,119,4,1,5,2,2,2,3,0.47,0.82,14.0
random_graph_4_500_0.9_25_1.col,500,107606,0.0,215.21,0.86,406,453,430,431,425,436,0.02,0.92,0.04,0.05,0.05,0.04,0.05,0.0,0.0,0,25,0,0,0.86,0.86,0.86,0.0,0.0,349,390,370.75,366.07,374.99,0.02,0.91,4,63,6,1,4,2,2,2,3,0.3,0.66,12.0
random_graph_1_250_0.9_25_1.col,250,27010,0.01,108.04,0.87,196,231,216,216,212,220,0.03,0.89,0.08,0.1,0.1,0.09,0.1,0.0,0.0,0,25,0,0,0.87,0.87,0.87,0.0,0.0,170,200,186.87,183.82,190.37,0.02,0.87,0,60,0,1,4,2,2,2,3,0.31,0.65,1.0
random_graph_4_500_0.1_0_4.col,500,12475,0.04,24.95,0.1,29,70,49,50,45,55,0.14,0.9,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0,5,0,0,0.1,0.09,0.11,0.09,0.0,2,7,5.0,4.39,5.51,0.16,0.67,0,16,0,3,4,3,3,3,4,0.16,0.95,1.0
random_graph_3_250_0.7_0_2.col,250,28497,0.01,113.99,0.92,170,249,227,240,210,249,0.11,0.71,0.68,0.75,0.7,0.7,0.7,0.0,0.0,2,187,0,1,0.93,0.91,0.98,0.03,0.14,170,227,222.6,205.26,227.81,0.07,0.72,0,187,0,1,2,1,1,1,2,0.47,0.92,3.0
random_graph_3_500_0.05_100_1.col,500,12100,0.04,24.2,0.1,22,70,48,50,43,55,0.18,0.9,0.03,0.07,0.05,0.05,0.05,0.0,0.0,2,37,0,0,0.74,0.72,0.77,0.08,0.0,21,49,36.33,31.71,41.15,0.17,0.94,0,40,0,1,7,4,6,3,6,0.5,0.84,3.0
random_graph_1_250_0.5_0_3.col,250,15676,0.02,62.7,0.5,106,144,125,125,120,131,0.06,0.92,0.02,0.04,0.03,0.03,0.03,0.0,0.0,0,9,0,0,0.5,0.5,0.51,0.01,0.0,53,72,63.34,60.62,65.79,0.06,0.91,0,40,0,2,3,2,3,2,3,0.25,0.98,0.0
random_graph_3_250_0.7_25_4.col,250,26310,0.01,105.24,0.85,137,247,210,210,191,237,0.13,0.88,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0,25,0,0,0.87,0.84,0.89,0.03,0.0,129,207,185.28,168.37,201.22,0.1,0.89,0,48,0,1,4,2,2,1,3,0.43,0.88,1.0
random_graph_4_250_0.5_25_1.col,250,14959,0.02,59.84,0.48,98,142,119,120,113,126,0.07,0.94,0.02,0.04,0.03,0.03,0.03,0.0,0.0,0,10,0,0,0.48,0.48,0.48,0.01,0.0,47,67,57.52,54.17,60.87,0.07,0.92,0,38,0,2,4,2,3,2,3,0.28,0.75,0.0
random_graph_1_500_0.5_25_1.col,500,59930,0.01,119.86,0.48,207,273,239,240,232,247,0.04,0.92,0.01,0.02,0.02,0.02,0.02,0.0,0.0,0,11,0,0,0.48,0.48,0.48,0.01,0.0,98,130,115.04,111.48,118.27,0.05,0.87,1,67,4,2,4,2,3,2,3,0.32,0.85,6.0
random_graph_3_1000_0.35_0_3.col,1000,282676,0.0,282.68,0.57,334,701,565,585,465,677,0.2,0.93,0.0,0.0,0.0,0.0,0.0,,0.0,601,0,0,1,0.83,0.76,0.93,0.11,0.04,334,533,484.11,432.46,509.75,0.11,0.95,24,382,41,1,3,2,3,2,3,0.31,0.72,668.0
